run_uuid,run_name,step,start_time,status,best_epoch,best_val_f1,train_CE,train_DSC,train_HGR,train_acc,train_f1,train_loss,val_CE,val_DSC,val_HGR,val_acc,val_f1,val_loss
04e8cb5ce278462a83bf31d419d4e60a,SpikEmo_T8_dim256_h4_lr2.944032680526903e-05_bs32_20260320_093104,0,1773979264154,FINISHED,29.0,0.5384706562239635,1.7918356270403475,0.5367457660468848,-23.39880885111319,0.1723846543856684,0.15440823794050013,-6.364457494342649,1.7916748726621587,0.5367158943034233,-25.114431218898044,0.17350369872225957,0.06457409323295353,-6.880660057067871
04e8cb5ce278462a83bf31d419d4e60a,SpikEmo_T8_dim256_h4_lr2.944032680526903e-05_bs32_20260320_093104,1,1773979264154,FINISHED,,,1.7919531686885937,0.5367550679155298,-24.92235336303711,0.17424370458002367,0.1549361143942624,-6.822788246257885,1.7912822632079428,0.53672530930093,-26.012637929713474,0.1761936785474109,0.052938926352547766,-7.150977743432877
04e8cb5ce278462a83bf31d419d4e60a,SpikEmo_T8_dim256_h4_lr2.944032680526903e-05_bs32_20260320_093104,2,1773979264154,FINISHED,,,1.7932281706784223,0.5368645274961317,-25.83040981808224,0.1678215311813419,0.16149482133979065,-7.095624843803612,1.791534497382793,0.5367279382462197,-26.807943993426385,0.19166106254203094,0.08216537518663945,-7.390186563451239
04e8cb5ce278462a83bf31d419d4e60a,SpikEmo_T8_dim256_h4_lr2.944032680526903e-05_bs32_20260320_093104,3,1773979264154,FINISHED,,,1.7898966144871067,0.5365890905663774,-26.497274213223843,0.17339868176440765,0.1399847097806854,-7.297175884246826,1.7868508049782286,0.5363369850402183,-27.427661692842523,0.1761936785474109,0.052787585796937285,-7.577929679383623
04e8cb5ce278462a83bf31d419d4e60a,SpikEmo_T8_dim256_h4_lr2.944032680526903e-05_bs32_20260320_093104,4,1773979264154,FINISHED,,,1.78724980483184,0.536357135063893,-27.115513012860273,0.18607402399864797,0.1569798364232314,-7.483914143330342,1.780618687893482,0.5358334196374771,-28.09091259570832,0.2965702757229321,0.1577326457792828,-7.779191625879166
04e8cb5ce278462a83bf31d419d4e60a,SpikEmo_T8_dim256_h4_lr2.944032680526903e-05_bs32_20260320_093104,5,1773979264154,FINISHED,,,1.7709066249228813,0.5350084182378408,-27.705809897345464,0.28156160216325843,0.22153647976934995,-7.666032371005496,1.7527742766319436,0.5334911523981297,-28.600180605624583,0.3618022864828514,0.28853915757781795,-7.940137396467493
04e8cb5ce278462a83bf31d419d4e60a,SpikEmo_T8_dim256_h4_lr2.944032680526903e-05_bs32_20260320_093104,6,1773979264154,FINISHED,,,1.6948548948442614,0.5288840039356335,-28.140319958248654,0.3364880851782998,0.23542910897563274,-7.81774601034216,1.6299332101294335,0.5243679044094491,-29.001426331540372,0.32279757901815737,0.2150847259221927,-8.094402932106181
04e8cb5ce278462a83bf31d419d4e60a,SpikEmo_T8_dim256_h4_lr2.944032680526903e-05_bs32_20260320_093104,7,1773979264154,FINISHED,,,1.569848085738517,0.5206562809042028,-28.525109079721812,0.3550785871218523,0.2717792271407548,-7.967165877367999,1.5365315092370866,0.5194239730530597,-29.398123193294445,0.3745796906523201,0.29147936159675497,-8.238342447483793
04e8cb5ce278462a83bf31d419d4e60a,SpikEmo_T8_dim256_h4_lr2.944032680526903e-05_bs32_20260320_093104,8,1773979264154,FINISHED,,,1.5033433302028758,0.518327413378535,-28.906330252982475,0.3777251985803617,0.3118946473432532,-8.09881953162116,1.5158352826503998,0.5213610441126721,-29.77649372181994,0.3718897108271688,0.32260885643612275,-8.356230086468635
04e8cb5ce278462a83bf31d419d4e60a,SpikEmo_T8_dim256_h4_lr2.944032680526903e-05_bs32_20260320_093104,9,1773979264154,FINISHED,,,1.469257419173782,0.5173206374451921,-29.271709328728754,0.40307588304884234,0.35280814424842527,-8.217352557826686,1.4781090591816193,0.5174148044687636,-30.150136298321662,0.39071956960322796,0.3366921400431194,-8.479471855975213
